id,text,category
5396,I made a purchase recently but I have decided that I'm not buying it and I need to receive my money back. Can you please give me a refund ASAP. It's extremely urgent.,request_refund
2202,"Cancel my transfer, please.",cancel_transfer
3768,How do I change my last name?,edit_personal_details
4967,A withdraw I tried to make at the ATM was declined I don't know why.,declined_cash_withdrawal
5622,I tried to buy something online yesterday and was told declined. I got the same error today after trying again. What is the problem?,declined_transfer
7752,is there a reason i need to verify top up,verify_top_up
8662,I transferred some funds but I don't see it,balance_not_updated_after_bank_transfer
1362,"I need to use my disposable card multiple times a day, is there a cutoff limit?",disposable_card_limits
6306,A transaction shows duplicate times.,transaction_charged_twice
1029,How quickly can you get me my card?,card_delivery_estimate
396,where do you find your exchange rates?,exchange_rate
603,Why is there an extra pound charge that is pending?,extra_charge_on_statement
6188,Help me terminate and close my account.,terminate_account
3225,Why is my top-up showing as reverted?,top_up_reverted
4665,How can I get my money back for a payment i didnt make,direct_debit_payment_not_recognised
9728,What are the steps needed to top up with Apple Pay?,apple_pay_or_google_pay
8966,IS there a fee to exchange currency?,exchange_charge
2574,I noticed that i got charged extra for using the card.,card_payment_fee_charged
5390,My statement has a charge that shouldn't have been made.,request_refund
1595,How old do you have to be?,age_limit
4873,What do I do if I forgot my passcode?,passcode_forgotten
5792,I keep checking my statements but no progress.I requested a refund but seems it's not reaching my account for some reason. Can you please help me get the money back from the seller for me,Refund_not_showing_up
3238,Why has my money disappeared? I topped up earlier and seen it was there and had went through. What seems to be the problem?,top_up_reverted
606,I would like to refill my account using SWIFT.,top_up_by_bank_transfer_charge
3815,It's requiring me to verify my identity?,why_verify_identity
1483,"Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP.",lost_or_stolen_card
6889,Do I have to go to the bank to change my PIN?,change_pin
293,Will my money be of equal value when I travel abroad?,exchange_rate
4110,Please give me both a visa and a mastercard.,visa_or_mastercard
8725,"Transferred to account is not successful, help please?",balance_not_updated_after_bank_transfer
3032,What do I need to show who I am?,verify_my_identity
1752,I can't transfer money from my account.,declined_transfer
5811,I was told I would be getting a refund but I have yet to see it,Refund_not_showing_up
3882,I'm not verifying my identity.,why_verify_identity
6550,Is there a way to see my money's source?,verify_source_of_funds
8790,"Hello, Please look into this matter urgently. As i have lost my wallet and i can see one withdrawal, now i do not want to loose more money.",cash_withdrawal_not_recognised
6707,How long does it take for the money to show up in my account?,transfer_timing
6373,Hello. I checked my transactions and saw I was double charged for a restaurant visit. Can I get my money back?,transaction_charged_twice
2985,What currency can I use to pay for a top up?,supported_cards_and_currencies
1221,The app doesn't recognize me.,unable_to_verify_identity
32,How do I know when my card will arrive?,card_arrival
803,i withdrew cash and dont see it reflected on the balance,pending_cash_withdrawal
7152,is a transfer to a beneficiary allowed?,beneficiary_not_allowed
