id,text,label
4736,vacuum start,iot_cleaning
4132,i did not ask for that.,general_negate
2456,if it is twelve hours ahead of eastern standard centaur time what's the time in the philippines now,datetime_convert
10612,what are all the lists i have available,lists_query
2787,any new emails for me,email_query
7389,play hoizer radio station from my pandora app,play_radio
3313,yeah that was fantastic.,general_affirm
3263,your understanding is confirmed.,general_affirm
490,lower the light intensity,iot_hue_lightdim
6395,find out what song this is and tell me the name,music_query
5632,can you turn off the smart socket,iot_wemo_off
9806,are there any construction areas on harvard,transport_traffic
8453,please look up clothing stores near me,recommendation_locations
5922,did i add milk to the shopping list,lists_query
104,format the calendar,calendar_remove
5569,deactivate smart plug socket,iot_wemo_off
8631,show times for nearest theater,recommendation_movies
7418,eight hundred and eighty nine fm please,play_radio
931,get me updates from kenny's facebook from the weekend,social_query
5687,switch on smart plug,iot_wemo_on
7281,skip forward,play_podcasts
2007,delete all recurring staff meetings,calendar_remove
400,your salary,general_quirky
1274,remove set alarm,alarm_remove
8863,can anyone tell me what's you guys discussing,social_query
5937,what do i need to pick up at the grocery store,lists_query
8535,where is a good place to eat in seattle,recommendation_locations
6443,bring me the title of current music,music_query
6557,keep me updated on the election results,news_query
1103,are there any alarms currently set,alarm_query
10205,what's the time in china right now,datetime_query
4869,brew my coffee,iot_coffee
7121,play one more time,play_music
2386,what temperature do you bake a potato,cooking_recipe
4768,turn on the robot vacuum cleaner,iot_cleaning
6978,start spider,play_game
6083,please delete bananas from my shopping list,lists_remove
10371,"s2, i could not get that.",general_explain
9181,do they have takeout,takeaway_query
3207,yeah right.,general_affirm
10537,turn off light in bedroom,iot_hue_lightoff
8132,show stock of goog,qa_stock
10454,will you replay please.,general_repeat
3290,yeah that's confirmed.,general_affirm
7420,find radio,play_radio
7504,give me the exchange rate between united states dollar and japanese yen,qa_currency
4108,thanks but you didn't get me.,general_negate
2438,can you change my time zone to central,datetime_convert
1268,get rid of my eight am alarm,alarm_remove
9798,is there traffic right now in maiden lane,transport_traffic
2295,give me a recipe for lasagne,cooking_recipe
9550,book me a cab going to location,transport_taxi
7594,how much is ten euros in dollars,qa_currency
7366,play my usher radio station,play_radio
495,lower the lights in bedroom two,iot_hue_lightdim
6847,play the god of small things,play_audiobook
4490,bingo,general_quirky
10938,tweet consumer service that the quantity is wrong,social_post
997,find nearest train station,transport_query
1398,set an alarm for tomorrow morning at eight,alarm_set
10685,what's going on in new york,news_query
4737,vacuum the carpet freshener from the carpet,iot_cleaning
6868,turn on flappy bird,play_game
6200,keep that song for when i need cheering up,music_likeness
4606,tell me what i said one more time again please.,general_repeat
8755,tweet my complaint about my truck to consumer digest,social_post
10901,what is happening in delhi today,recommendation_events
5880,can you please tell me what i have on my list,lists_query
347,tell me random joke,general_joke
1816,is there any events planned for the next three months,calendar_query
5775,please add oranges to my grocery list,lists_createoradd
4604,tell me again.,general_repeat
5206,lower the lights in the room,iot_hue_lightdim
5640,turn on the plug socket one,iot_wemo_on
5075,white,iot_hue_lightchange
536,brighten the lights,iot_hue_lightup
7204,play the newest morning show podcast,play_podcasts
4634,let us try it one more again please.,general_repeat
4006,share me a joke,general_joke
4537,why does tom izzo look like a whiny bitch when his team plays,general_quirky
10825,please tell me what a crankshaft is,qa_definition
6038,delete that item from my list,lists_remove
9424,find a taxi to book,transport_taxi
11036,book a taxi for tomorrow morning,transport_taxi
2676,please place my new email address to the contact,email_addcontact
4336,"you did nice job, thank you.",general_praise
