id,utterance,intent
8793,hi i want change my address from my credit card,updateaddress
3083,i need 4 fruit maple oatmeal 3 cold brew frozen coffee,orderdrinkintent
5932,i wish to travel next month domestic airway,bookflight
12077,i need reimbursement my expenses,expensereport
6608,i need a copy of insurance for my car,getproofofinsurance
2346,and add 1 lemonade and 1 sea salt cookie also along with my order,orderdrinkintent
3043,i would like to order bigmac with apple slices with french fries regular,orderburgerintent
11131,i need a musical instrument,startorder
8668,i need to also close out this account while i have you here,closeaccount
2539,2 big mac,orderburgerintent
11959,i need travel reimbursed expenses,expensereport
3146,wild baby arugula 1,ordersaladintent
8163,i have cheack my ac balance,checkbalance
7578,my iphone was broken please fix my phone,reportbrokenphone
10830,outlook is getting very slow,reportbrokensoftware
3999,i need to check my seat assignment,changeseatassignment
5884,may i know my seat assignment,changeseatassignment
12583,what is the price of 10 gb plan,getinformationintent
4730,i would like to check the seat assignment,changeseatassignment
14152,want to purchase new cable,startserviceintent
10944,i need to update my gmail,softwareupdate
1672,my pizza has to be with highrise dough pesto drizzle white cream sauce mozzarella red peppers olives grilled chicken,orderpizzaintent
14008,i want a new cable service,startserviceintent
11140,i are reporting travel expenses,expensereport
13088,i want new internet service,startserviceintent
13713,hi i want to purchase internet,startserviceintent
5231,can you pls send me my boarding pass,getboardingpass
1160,i like one pizza and parmesan cheese,orderpizzaintent
12385,heywhat do ive to do to sign up for a new service,startserviceintent
7741,i need replacemant my phone,reportbrokenphone
7255,i need a copy of insurance for my car,getproofofinsurance
5368,check my seat assignment,changeseatassignment
8018,my phone screen is broken,reportbrokenphone
6372,i need to get a proof of insurance for my car can you help me with that,getproofofinsurance
6579,i need a copy of insurance for my car,getproofofinsurance
12876,i want a new internet connection,startserviceintent
5974,i need to my seat assignment,changeseatassignment
10933,i want application not working as expected missing periodic software updates,softwareupdate
9839,okneed to change my address in my ac,updateaddress
9526,please transfer fund from my first account to the second one,transfermoney
8958,yeah i want to tranfer money from my account to another account,transfermoney
4104,can you send boarding pass to me,getboardingpass
6197,i want to know the status of my claim can you please help me,checkclaimstatus
184,actually i want to make that a hamburger kids meal not chicken nuggets,orderburgerintent
13653,i want to a cable service,startserviceintent
8381,please close the account 8547,closeaccount
9532,need your help to resolve the issues for my credit card lost,reportlostcard
1305,drinks 1 lemonade,orderdrinkintent
10506,i use outlook i need software updates,softwareupdate
2715,need meat eater pizza with blue moon beer,orderpizzaintent
3451,i want to book for plane ticket,bookflight
13019,can you send my bill receipt to view,viewbillsintent
14050,hi i was interested in getting prices for internet service,getinformationintent
12564,i want to new cable,startserviceintent
6047,i need a proof of insurance for one of the car,getproofofinsurance
10603,i use outlook i need software updates,softwareupdate
689,i order to chicken sandwiches 4 pisces,orderburgerintent
8508,hi i want to report my credit card loss,reportlostcard
8195,hi my name johny rock i lost my credit card,reportlostcard
8451,i want to transfer money to another account,transfermoney
3744,i need boarding pass,getboardingpass
9826,i want remove extra charge on my credit card,disputecharge
10610,i use outlook i need software updates,softwareupdate
2600,oh no sorry i would like to order a salad instead,ordersaladintent
10514,whatsapp app not open,reportbrokensoftware
10848,my computer skype software is not working,reportbrokensoftware
2896,yes olive oil brownie,orderdessertintent
3750,i need to know about my seat assignment,changeseatassignment
6304,i wants to know about my claim,checkclaimstatus
2300,i have olive oil brownie,orderdessertintent
4118,i would like to get details on my seat assignment,changeseatassignment
7126,haii need status of my claim,checkclaimstatus
4958,check my seat assignment,changeseatassignment
10518,i want to claim my travel expenses,expensereport
4627,i already booked a ticket but i change this seat,bookflight
396,i would like to have a pizza with crumbled meatballs arugula chopped garlic mozzarella and spicy red sauce,orderpizzaintent
4845,please change the seat to middle window is not comfortable,changeseatassignment
12888,i want to sign up for new services can you help me,startserviceintent
2215,i like pizza,orderpizzaintent
4532,my seat assignment,changeseatassignment
4595,i want to check my seat,changeseatassignment
9730,i lost my credit card,reportlostcard
242,yes sure i need pesto drizzle over grilled chicken and also desserts olive oil brownie,orderdessertintent
8503,i have to lost my credit card could you help me,reportlostcard
2721,any one dessert,orderdessertintent
4307,i want you to send the boarding pass for the flight i booked recently to my phone number,getboardingpass
8788,i want to change my address,updateaddress
1136,1 fruit maple oatmeal and 3 artisan grilled chicken sandwich,orderburgerintent
1844,agua frescas 1,orderdrinkintent
2106,2 big mac,orderburgerintent
8656,i have change address,updateaddress
12664,i want to purchase internet,startserviceintent
13309,i need cable connection,startserviceintent
7725,i need my car proof of insurance can you arrange for me,getproofofinsurance
6382,what is the status of my claim,checkclaimstatus
13278,i want new cable service,startserviceintent
2432,yes i want 2 soda,orderdrinkintent
797,2 classic caesar,ordersaladintent
13163,i want to purchase new cable service,startserviceintent
10121,i would like my account balance,checkbalance
7069,need a proof of insurance for one of your cars,getproofofinsurance
10625,i want to update my outlook,softwareupdate
14048,i want to sign up for internet service,startserviceintent
3368,yes i need 1 lemonade,orderdrinkintent
12598,i need phone connection,startserviceintent
3126,i like desserts in olive oil brownie,orderdessertintent
2603,i need 2 tea,orderdrinkintent
2009,i need 2 beers,orderdrinkintent
